data_horario,total,total_sem_reagendado,compareceu,nao_compareceu,reagendado
"2022-01-19 09:00:00",6,5,2,3,1
"2022-01-19 09:30:00",2,2,0,2,0
"2022-01-19 10:00:00",4,2,1,1,2
"2022-01-19 11:00:00",2,2,1,1,0
"2022-01-19 12:00:00",1,1,0,1,0
"2022-01-19 14:00:00",3,1,1,0,2
"2022-01-19 15:00:00",6,6,3,3,0
"2022-01-19 16:00:00",1,1,0,1,0
"2022-01-19 16:30:00",1,1,0,1,0
"2022-01-19 17:00:00",3,1,1,0,2
"2022-01-20 09:00:00",5,5,2,3,0
"2022-01-20 09:30:00",1,1,1,0,0
"2022-01-20 10:00:00",2,2,0,2,0
"2022-01-20 11:00:00",4,4,3,1,0
"2022-01-20 12:00:00",1,1,1,0,0
"2022-01-20 14:00:00",1,1,0,1,0
"2022-01-20 14:30:00",1,1,1,0,0
"2022-01-20 15:00:00",1,1,1,0,0
"2022-01-20 15:30:00",1,1,0,1,0
"2022-01-20 16:00:00",4,4,0,4,0
"2022-01-21 09:00:00",1,1,0,1,0
"2022-01-21 10:00:00",2,2,2,0,0
"2022-01-21 11:00:00",1,1,0,1,0
"2022-01-21 14:00:00",4,3,2,1,1
"2022-01-21 15:30:00",1,1,0,1,0
"2022-01-21 16:00:00",3,3,1,2,0
"2022-01-21 16:30:00",1,1,1,0,0
"2022-01-21 17:00:00",3,2,0,2,1
"2022-01-22 08:00:00",2,2,0,2,0
"2022-01-22 08:30:00",2,2,0,2,0
"2022-01-22 09:00:00",2,2,0,2,0
"2022-01-22 09:30:00",1,1,1,0,0
"2022-01-22 10:00:00",9,8,2,6,1
"2022-01-22 10:30:00",2,2,1,1,0
"2022-01-22 11:00:00",4,4,2,2,0
"2022-01-22 13:00:00",4,4,4,0,0
"2022-01-22 13:30:00",1,1,0,1,0
"2022-01-22 14:00:00",5,4,0,4,1
"2022-01-22 15:00:00",7,7,2,5,0
"2022-01-22 15:30:00",2,2,1,1,0
"2022-01-22 16:00:00",4,4,0,4,0
"2022-01-25 09:00:00",4,4,2,2,0
"2022-01-25 10:00:00",3,2,0,2,1
"2022-01-25 11:00:00",1,0,0,0,1
"2022-01-25 12:00:00",1,1,0,1,0
"2022-01-25 14:00:00",9,6,3,3,3
"2022-01-25 15:00:00",5,5,2,3,0
"2022-01-25 16:00:00",3,3,0,3,0
"2022-01-25 16:30:00",3,3,1,2,0
"2022-01-25 17:00:00",8,6,3,3,2
"2022-01-26 09:00:00",3,3,1,2,0
"2022-01-26 10:00:00",4,4,2,2,0
"2022-01-26 10:30:00",2,0,0,0,2
"2022-01-26 11:00:00",4,4,0,4,0
"2022-01-26 11:30:00",1,1,0,1,0
"2022-01-26 12:00:00",4,4,1,3,0
"2022-01-26 14:00:00",1,1,0,1,0
"2022-01-26 15:00:00",5,5,2,3,0
"2022-01-26 16:00:00",2,2,0,2,0
"2022-01-26 16:30:00",1,1,0,1,0
"2022-01-26 17:00:00",5,3,1,2,2
"2022-01-27 09:00:00",1,1,0,1,0
"2022-01-27 10:00:00",2,1,0,1,1
"2022-01-27 11:00:00",1,1,0,1,0
"2022-01-27 11:30:00",1,0,0,0,1
"2022-01-27 12:00:00",1,1,0,1,0
"2022-01-27 14:00:00",5,1,0,1,4
"2022-01-27 15:00:00",4,4,0,4,0
"2022-01-27 16:00:00",4,2,0,2,2
"2022-01-27 17:00:00",1,0,0,0,1
"2022-01-28 09:00:00",3,3,3,0,0
"2022-01-28 10:00:00",5,2,1,1,3
"2022-01-28 11:00:00",5,5,2,3,0
"2022-01-28 12:00:00",1,1,1,0,0
"2022-01-28 14:00:00",7,6,2,4,1
"2022-01-28 15:00:00",4,4,1,3,0
"2022-01-28 16:00:00",6,6,2,4,0
"2022-01-28 17:00:00",3,3,0,3,0
"2022-01-29 08:00:00",2,2,0,2,0
"2022-01-29 09:00:00",5,5,0,5,0
"2022-01-29 10:00:00",9,7,2,5,2
"2022-01-29 10:30:00",1,1,0,1,0
"2022-01-29 11:00:00",5,5,3,2,0
"2022-01-29 13:00:00",3,2,1,1,1
"2022-01-29 14:00:00",7,7,1,6,0
"2022-01-29 15:00:00",5,5,2,3,0
"2022-01-29 16:00:00",7,6,1,5,1
"2022-02-01 09:00:00",5,3,0,3,2
"2022-02-01 10:00:00",9,7,0,7,2
"2022-02-01 11:00:00",5,5,2,3,0
"2022-02-01 12:00:00",3,2,1,1,1
"2022-02-01 14:00:00",6,6,3,3,0
"2022-02-01 15:00:00",2,2,1,1,0
"2022-02-01 16:00:00",4,2,0,2,2
"2022-02-01 17:00:00",3,3,0,3,0
"2022-02-02 09:00:00",3,3,3,0,0
"2022-02-02 10:00:00",2,2,0,2,0
"2022-02-02 11:00:00",1,0,0,0,1
"2022-02-02 12:00:00",1,1,1,0,0
"2022-02-02 14:00:00",4,3,1,2,1
"2022-02-02 15:00:00",5,5,0,5,0
"2022-02-02 16:00:00",5,4,2,2,1
"2022-02-02 17:00:00",3,2,0,2,1
"2022-02-03 09:00:00",5,5,2,3,0
"2022-02-03 10:00:00",5,4,2,2,1
"2022-02-03 12:00:00",1,1,1,0,0
"2022-02-03 14:00:00",4,4,1,3,0
"2022-02-03 15:00:00",3,3,2,1,0
"2022-02-03 16:00:00",1,1,1,0,0
"2022-02-03 17:00:00",6,6,1,5,0
"2022-02-04 09:00:00",5,4,0,4,1
"2022-02-04 10:00:00",9,9,3,6,0
"2022-02-04 14:00:00",5,5,2,3,0
"2022-02-04 15:00:00",3,3,0,3,0
"2022-02-04 16:00:00",2,2,0,2,0
"2022-02-04 17:00:00",5,4,1,3,1
"2022-02-05 08:00:00",3,3,1,2,0
"2022-02-05 09:00:00",6,6,2,4,0
"2022-02-05 10:00:00",8,8,3,5,0
"2022-02-05 11:00:00",7,7,1,6,0
"2022-02-05 13:00:00",6,6,2,4,0
"2022-02-05 14:00:00",9,9,2,7,0
"2022-02-05 15:00:00",10,9,1,8,1
"2022-02-05 16:00:00",9,7,2,5,2
"2022-02-08 09:00:00",6,6,1,5,0
"2022-02-08 10:00:00",7,6,1,5,1
"2022-02-08 11:00:00",3,3,1,2,0
"2022-02-08 14:00:00",8,7,1,6,1
"2022-02-08 15:00:00",4,3,0,3,1
"2022-02-08 16:00:00",3,3,1,2,0
"2022-02-08 17:00:00",6,4,0,4,2
"2022-02-09 09:00:00",3,3,0,3,0
"2022-02-09 10:00:00",7,6,1,5,1
"2022-02-09 10:30:00",1,1,1,0,0
"2022-02-09 11:00:00",5,4,3,1,1
"2022-02-09 12:00:00",3,2,0,2,1
"2022-02-09 14:00:00",9,8,0,8,1
"2022-02-09 15:00:00",10,9,2,7,1
